URL,Method,POST Params,classification
http://placeholder.local/vendor/theme.eot,GET,{},1
http://placeholder.local/assets/app.avif,GET,{},1
http://placeholder.local/openapi.json?id=1,GET,{},0
http://placeholder.local/api/v1/asset/asset,GET,{},0
http://placeholder.local/api/products/147,GET,{},0
http://placeholder.local/node_modules/react/vendor.mjs,GET,{},1
http://placeholder.local/scripts/vue.min.gif,GET,{},1
http://placeholder.local/fonts/logo.svg,GET,{},1
http://placeholder.local/node_modules/react/logo.jpeg,GET,{},1
http://placeholder.local/signin,POST,"{""username"": ""admin"", ""password"": ""admin""}",0
http://placeholder.local/api/recycles/128,GET,{},0
http://placeholder.local/api/search?q=../../etc/passwd,GET,{},0
http://placeholder.local/api/v2/swagger.yaml,GET,{},0
http://placeholder.local/css/index.gif,GET,{},1
http://placeholder.local/api/products/40,GET,{},0
http://placeholder.local/api/v1/user,POST,"{""data"": ""value""}",0
http://placeholder.local/js/theme.css,GET,{},1
http://placeholder.local/api/export,GET,{},0
http://placeholder.local/v1/usersync,POST,"{""data"": ""value""}",0
http://placeholder.local/api/products/59,GET,{},0
http://placeholder.local/node_modules/lodash/bundle.gif,GET,{},1
http://placeholder.local/v2/sync/control,POST,"{""data"": ""value""}",0
http://placeholder.local/v1/applications,POST,"{""data"": ""value""}",0
http://placeholder.local/api/v1/account/oauth/token,POST,"{""data"": ""value""}",0
http://placeholder.local/js/background.js,GET,{},1
http://placeholder.local/static/logo.map,GET,{},1
http://placeholder.local/build/index.gif,GET,{},1
http://placeholder.local/assets/vendor.bmp,GET,{},1
http://placeholder.local/api/complaints,POST,"{""message"": ""test complaint"", ""UserId"": ""1""}",0
http://placeholder.local/api/identity/envelope?id=1,GET,{},0
http://placeholder.local/lib/background.avif,GET,{},1
http://placeholder.local/media/chunk-vendors.tiff,GET,{},1
http://placeholder.local/dist/app.avif,GET,{},1
http://placeholder.local/api/feedbacks,POST,"{""comment"": ""test"", ""rating"": ""5"", ""UserId"": ""1""}",0
http://placeholder.local/api/geo,POST,"{""data"": ""value""}",0
http://placeholder.local/api/feedbacks/144,GET,{},0
http://placeholder.local/css/angular.min.css,GET,{},1
http://placeholder.local/api/users/130,GET,{},0
http://placeholder.local/fonts/background.ico,GET,{},1
http://placeholder.local/api/basket/116/checkout,POST,"{""couponCode"": """"}",0
http://placeholder.local/rest/user/140,GET,{},0
http://placeholder.local/styles/icons.woff2,GET,{},1
http://placeholder.local/static/icons.map,GET,{},1
http://placeholder.local/node_modules/react/angular.min.woff,GET,{},1
http://placeholder.local/img/chunk-vendors.js,GET,{},1
http://placeholder.local/api/basket/9999/checkout,POST,"{""couponCode"": """"}",0
http://placeholder.local/api/Users/register,POST,"{""email"": ""x@x.com"", ""password"": ""x"", ""username"": ""x""}",0
http://placeholder.local/api/complaints/24,GET,{},0
http://placeholder.local/api/auth/login,GET,{},0
http://placeholder.local/public/background.gif,GET,{},1
http://placeholder.local/dist/bootstrap.min.eot,GET,{},1
http://placeholder.local/node_modules/lodash/polyfills.png,GET,{},1
http://placeholder.local/img/background.webp,GET,{},1
http://placeholder.local/img/index.gif,GET,{},1
http://placeholder.local/api/products/67,GET,{},0
http://placeholder.local/public/polyfills.jpg,GET,{},1
http://placeholder.local/dist/vue.min.ttf,GET,{},1
http://placeholder.local/vendor/vue.min.jpeg,GET,{},1
http://placeholder.local/api/Users/login,POST,"{""email"": ""admin@juice-sh.op"", ""password"": ""admin123""}",0
http://placeholder.local/dist/background.eot,GET,{},1
http://placeholder.local/api/orders/144,GET,{},0
http://placeholder.local/media/react.production.min.avif,GET,{},1
http://placeholder.local/api/v2/users,GET,{},0
http://placeholder.local/dist/index.woff,GET,{},1
http://placeholder.local/api/v2/ip.json,GET,{},0
http://placeholder.local/media/app.jpeg,GET,{},1
http://placeholder.local/api/models,GET,{},0
http://placeholder.local/media/bootstrap.min.jpeg,GET,{},1
http://placeholder.local/api/oembed.json,POST,"{""data"": ""value""}",0
http://placeholder.local/api/products/13,GET,{},0
http://placeholder.local/node_modules/lodash/icons.bmp,GET,{},1
http://placeholder.local/api/products/83,GET,{},0
http://placeholder.local/api/complaints/41,GET,{},0
http://placeholder.local/api/user/profile?password=1,GET,{},0
http://placeholder.local/v2/share/stats,GET,{},0
http://placeholder.local/.well-known/security.txt,GET,{},1
http://placeholder.local/static/theme.png,GET,{},1
http://placeholder.local/api/cart/create,POST,"{""data"": ""value""}",0
